Year,Month,Avg_Temp_C,Total_Precip_mm,Avg_Humidity_%,Avg_WindSpeed_kph,Snowfall_cm
1970,1,15.0,100.6,73.5,14.0,34.9
1970,2,8.6,131.0,63.4,14.0,42.6
1970,3,16.5,81.7,65.3,14.0,27.7
1970,4,25.2,97.1,75.7,21.2,0.0
1970,5,7.7,105.7,72.9,16.1,0.0
1970,6,7.7,73.0,71.1,16.3,0.0
1970,7,25.8,91.7,72.1,18.1,1.5
1970,8,17.7,85.4,73.7,15.7,2.0
1970,9,5.3,87.9,69.3,14.2,0.0
1970,10,15.4,61.8,68.1,14.4,2.8
1970,11,5.4,85.7,73.0,14.8,29.6
1970,12,5.3,99.9,67.1,14.9,50.5
1971,1,12.4,128.5,74.0,17.2,28.6
1971,2,-9.1,113.8,63.5,15.2,64.0
1971,3,-7.2,149.6,77.1,17.2,33.5
1971,4,4.4,62.0,74.4,14.8,0.0
1971,5,-0.1,111.2,73.3,15.2,0.0
1971,6,13.1,90.5,76.9,9.0,0.0
1971,7,0.9,150.7,80.3,17.7,0.6
1971,8,-4.1,60.8,77.1,16.0,0.0
1971,9,24.7,59.8,62.8,18.0,0.7
1971,10,7.7,67.0,65.6,6.3,1.2
1971,11,10.7,21.3,68.9,21.3,21.9
1971,12,-4.2,69.2,72.1,14.6,12.2
1972,1,4.6,62.2,74.6,18.3,16.3
1972,2,11.1,89.5,68.4,11.9,33.8
1972,3,-1.5,95.3,72.9,16.8,50.0
1972,4,13.8,141.3,68.2,11.8,3.8
1972,5,4.0,113.5,68.9,13.1,0.8
1972,6,7.1,67.7,65.0,20.7,1.0
1972,7,4.0,58.0,67.4,14.4,2.4
1972,8,28.5,99.8,65.2,15.7,1.5
1972,9,9.9,45.4,67.1,17.6,2.9
1972,10,-0.6,139.9,77.3,16.5,1.6
1972,11,18.2,120.4,67.3,15.5,13.2
1972,12,-2.2,70.9,85.2,16.1,34.7
1973,1,12.1,33.6,74.5,22.2,23.2
1973,2,-9.6,125.6,72.9,14.8,31.3
1973,3,-3.3,81.6,67.7,15.6,11.7
1973,4,12.0,122.1,75.5,18.2,0.6
1973,5,17.4,37.2,69.1,18.3,0.7
1973,6,11.7,67.0,72.6,18.6,0.0
1973,7,8.8,85.2,84.8,16.9,0.0
1973,8,7.0,86.4,71.5,11.6,1.2
1973,9,-4.8,71.5,77.7,19.9,1.3
1973,10,2.8,103.7,68.5,11.6,0.0
1973,11,5.4,53.0,71.8,15.9,3.7
1973,12,20.6,80.7,80.9,12.7,0.0
1974,1,13.4,88.6,68.9,14.8,2.1
1974,2,-7.6,100.4,81.1,16.0,43.9
1974,3,13.2,106.3,75.5,16.0,16.7
1974,4,6.1,51.3,69.2,16.3,4.6
1974,5,3.2,39.0,75.2,19.8,0.0
1974,6,16.1,123.3,76.9,16.4,2.8
1974,7,20.3,95.0,75.1,14.3,3.0
1974,8,19.3,62.5,64.1,17.9,0.0
1974,9,1.6,131.5,68.4,18.6,3.8
1974,10,6.9,88.5,70.8,11.3,0.5
1974,11,13.3,120.4,71.6,16.8,40.4
1974,12,19.8,87.0,75.1,17.1,33.9
1975,1,5.2,146.8,72.9,14.1,36.7
1975,2,8.1,137.7,65.3,19.1,16.7
1975,3,-1.1,77.5,73.9,14.5,12.7
1975,4,-2.0,114.1,75.1,15.4,0.0
1975,5,18.1,104.4,74.8,14.5,3.6
1975,6,23.6,126.1,77.4,15.0,0.0
1975,7,9.3,56.1,76.2,11.7,3.1
1975,8,20.0,105.6,74.3,10.7,3.3
1975,9,13.6,116.8,71.6,19.8,0.0
1975,10,3.5,32.2,63.7,12.5,0.2
1975,11,13.6,49.5,74.1,12.0,7.9
1975,12,25.4,23.8,73.0,8.5,22.1
1976,1,9.6,76.9,73.4,13.1,14.2
1976,2,25.6,106.5,65.6,11.0,0.0
1976,3,-16.2,130.1,66.6,19.9,23.8
1976,4,18.2,87.2,77.3,18.0,3.8
1976,5,10.9,133.9,71.8,12.9,0.0
1976,6,7.0,43.6,75.4,21.8,0.6
1976,7,10.9,33.9,72.1,17.9,0.0
1976,8,-9.9,83.3,72.1,14.0,0.0
1976,9,7.8,96.5,76.7,7.5,2.9
1976,10,13.6,84.0,69.4,21.9,4.2
1976,11,24.8,23.0,72.5,10.8,21.6
1976,12,4.8,82.3,69.7,10.1,10.6
1977,1,1.9,45.9,69.8,18.1,19.4
1977,2,5.0,105.1,70.5,22.3,41.3
1977,3,19.2,96.0,73.1,19.2,53.3
1977,4,13.3,56.8,69.6,16.7,1.8
1977,5,4.7,69.6,78.3,16.8,0.1
1977,6,15.1,53.2,67.5,17.6,1.0
1977,7,11.0,83.1,71.1,17.3,2.1
1977,8,19.7,113.7,69.8,15.8,1.0
1977,9,3.0,55.4,79.2,15.3,0.1
1977,10,6.7,100.1,73.0,14.8,0.8
1977,11,6.1,69.1,77.2,12.7,18.0
1977,12,-4.6,61.2,64.6,14.2,1.1
1978,1,13.0,81.8,73.3,9.9,32.7
1978,2,12.6,53.9,76.4,14.7,17.0
1978,3,10.1,68.4,72.4,12.0,7.5
1978,4,7.7,49.1,77.3,11.7,0.4
1978,5,-4.2,143.9,69.4,15.5,2.4
1978,6,5.8,86.1,79.0,19.2,0.3
1978,7,6.6,64.0,83.5,17.8,3.3
1978,8,2.0,91.4,70.2,10.3,1.7
1978,9,8.4,81.6,69.8,12.0,0.8
1978,10,14.0,78.4,79.3,17.8,1.9
1978,11,28.9,103.4,79.9,12.1,10.0
1978,12,11.7,107.7,69.4,14.3,29.5
1979,1,12.6,69.1,69.9,16.7,36.5
1979,2,9.3,67.7,70.6,12.1,43.4
1979,3,-9.2,76.7,65.3,15.3,23.5
1979,4,9.7,15.9,67.4,11.0,5.5
1979,5,10.6,39.5,67.0,13.2,2.3
1979,6,34.6,126.0,68.2,16.0,2.0
1979,7,8.1,134.3,71.8,10.2,0.0
1979,8,13.0,77.5,73.2,16.3,0.0
1979,9,9.7,102.3,79.8,14.9,0.0
1979,10,-1.7,94.3,67.0,16.7,0.0
1979,11,21.4,177.4,76.9,15.7,47.4
1979,12,17.5,118.6,70.9,19.1,20.9
1980,1,17.9,81.2,71.8,15.4,24.7
1980,2,0.9,56.3,75.4,13.7,13.8
1980,3,24.0,36.8,66.4,15.4,0.0
1980,4,-4.0,91.1,73.9,16.6,1.5
1980,5,15.9,62.3,72.8,15.1,5.1
1980,6,31.9,42.3,74.5,15.1,0.0
1980,7,0.1,65.6,73.4,12.9,0.0
1980,8,4.3,52.6,84.3,13.0,0.4
1980,9,11.0,135.6,68.8,10.8,3.2
1980,10,5.0,111.4,69.3,20.2,4.9
1980,11,-5.5,84.8,68.9,11.3,36.9
1980,12,10.7,129.4,69.2,12.9,6.2
1981,1,-0.6,87.3,68.8,12.8,29.4
1981,2,14.7,59.2,77.9,17.7,4.7
1981,3,0.8,130.7,79.1,14.1,32.0
1981,4,25.5,101.2,69.1,18.7,0.0
1981,5,2.2,53.9,67.8,13.0,1.5
1981,6,6.8,79.3,74.4,15.8,1.9
1981,7,18.1,58.7,69.2,12.5,3.2
1981,8,-2.3,43.5,75.2,21.4,1.2
1981,9,12.3,112.8,73.0,11.4,1.6
1981,10,23.1,142.3,64.4,15.9,0.2
1981,11,-6.1,43.0,79.7,16.9,9.8
1981,12,11.8,101.9,81.0,16.2,25.9
1982,1,12.6,65.5,68.9,14.4,31.4
1982,2,17.8,70.4,70.1,14.6,35.4
1982,3,-2.4,67.2,73.4,15.1,27.6
1982,4,-3.2,59.1,73.7,14.6,0.9
1982,5,15.2,86.5,75.3,17.9,3.3
1982,6,13.0,60.1,82.1,21.6,0.9
1982,7,12.5,93.1,71.1,13.3,0.0
1982,8,13.5,83.5,68.0,10.9,3.5
1982,9,3.2,77.8,65.1,14.7,0.0
1982,10,12.3,57.8,68.3,22.7,0.0
1982,11,12.9,67.7,71.8,12.6,0.0
1982,12,2.9,107.7,81.0,19.9,9.9
1983,1,28.7,100.0,69.4,20.0,34.3
1983,2,14.7,55.7,73.1,13.3,55.9
1983,3,-1.9,88.0,71.9,16.7,25.3
1983,4,16.6,107.5,77.9,19.9,1.4
